PLC_Tag,Address,RegisterType,DataType,FunctionCode,AccessType,Description,Unit,SignalType,DCS_Tag,DCS_Functions
2630-PM-001A_STA.MCU,67,1,BOOL,2,Read,MCU.2630-PM-001A - Pump of HP Flare_Motor Operation 1:Running 0:Stopped,"",Permanent,"",""
2630-PM-001A_EM_STOP.MCU,68,1,BOOL,2,Read,MCU.2630-PM-001A - Pump of HP Flare_Emergency shutdown 1:Emergency shutdown 0:Normal,"",Permanent,"",""
2630-PM-001A_SWITCH_ON.MCU,69,1,BOOL,2,Read,MCU.2630-PM-001A - Pump of HP Flare_MCCB Closed 1:Closed Position 0:Open Position,"",Permanent,"",""
2630-PM-001A_MCCB POSITION.MCU,70,1,BOOL,2,Read,MCU.2630-PM-001A - Pump of HP Flare_MCCB Working Position 1:Working Position 0:Test Position,"",Permanent,"",""
2630-PM-001A_REDAY.MCU,71,1,BOOL,2,Read,MCU.2630-PM-001A - Pump of HP Flare_Motor Ready 1:Ready 0:Not Ready,"",Permanent,"",""
2204-NK-SG-001-A.17OC_4_TX.MCU,72,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.17OC_4 - SPARE_Communication Status 1:Communication Normal 0:Communication Interrupted,"",Permanent,"",""
2204-NK-SG-001-A.17OC_4_PERMIT.MCU,73,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.17OC_4 - SPARE_Permitted State 1:Permit 0:No Permit,"",Permanent,"",""
2204-NK-SG-001-A.17OC_4_FAULT.MCU,74,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.17OC_4 - SPARE_General Fault 1:Fault 0:Normal,"",Permanent,"",""
2204-NK-SG-001-A.17OC_4_STA.MCU,75,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.17OC_4 - SPARE_Motor Operation 1:Running 0:Stopped,"",Permanent,"",""
2204-NK-SG-001-A.17OC_4_EM_STOP.MCU,76,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.17OC_4 - SPARE_Emergency shutdown 1:Emergency shutdown 0:Normal,"",Permanent,"",""
2204-NK-SG-001-A.17OC_4_SWITCH_ON.MCU,77,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.17OC_4 - SPARE_MCCB Closed 1:Closed Position 0:Open Position,"",Permanent,"",""
2204-NK-SG-001-A.17OC_4_MCCB POSITION.MCU,78,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.17OC_4 - SPARE_MCCB Working Position 1:Working Position 0:Test Position,"",Permanent,"",""
2204-NK-SG-001-A.17OC_4_REDAY.MCU,79,1,BOOL,2,Read,MCU.2204-NK-SG-001-A.17OC_4 - SPARE_Motor Ready 1:Ready 0:Not Ready,"",Permanent,"",""
2711-PM-1303A_TX.MCU,80,1,BOOL,2,Read,MCU.2711-PM-1303A - SM Circulating Pump_Communication Status 1:Communication Normal 0:Communication Interrupted,"",Permanent,"",""
2711-PM-1303A_PERMIT.MCU,81,1,BOOL,2,Read,MCU.2711-PM-1303A - SM Circulating Pump_Permitted State 1:Permit 0:No Permit,"",Permanent,"",""
2711-PM-1303A_FAULT.MCU,82,1,BOOL,2,Read,MCU.2711-PM-1303A - SM Circulating Pump_General Fault 1:Fault 0:Normal,"",Permanent,"",""
